Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating,Role
ptr,Peter Gurney,,32 years,20971,0.26,18272,1.15,73.3,3.4,1136,29729,0.71,0.11,0.61,0.09,0.1,1.07,Entry Fragger
jL,Justinas Lekavicius,Apeks,23 years,8973,0.483,8115,1.11,78.0,4.1,456,12238,0.73,0.12,0.66,0.09,0.1,1.11,AWPer
dapr,Michael Gulino,,24 years,11313,0.441,10311,1.1,80.8,6.4,594,15426,0.73,0.15,0.67,0.1,0.11,1.13,Support
NaToSaphiX,Niels Christian Sillassen,undefined,26 years,18513,0.368,15993,1.16,71.9,3.2,988,26353,0.7,0.1,0.61,0.09,0.1,1.07,AWPer
Impulse,Aleksa Stankić,ex-4glory,26 years,14902,0.353,13313,1.12,75.5,3.6,781,20768,0.72,0.11,0.64,0.1,0.11,1.11,AWPer
dexter,Christopher Nong,MOUZ,28 years,20198,0.486,18398,1.1,80.3,5.2,1070,27582,0.73,0.14,0.67,0.09,0.09,1.07,Support
nicoodoz,Nico Tamjidi,fnatic,22 years,15240,0.317,13282,1.15,71.5,3.3,807,21614,0.71,0.08,0.61,0.08,0.1,1.09,Entry Fragger
hAdji,Ali Haïnouss,Falcons,27 years,24011,0.491,21653,1.11,79.5,4.1,1243,32898,0.73,0.13,0.66,0.1,0.12,1.07,AWPer
jks,Justin Savage,G2,27 years,23035,0.53,20567,1.12,77.3,5.3,1255,32781,0.7,0.13,0.63,0.09,0.11,1.07,AWPer
xand,Alexandre Zizi,,27 years,9681,0.502,8806,1.1,80.4,4.7,515,13210,0.73,0.14,0.67,0.1,0.1,1.07,Support
InfrequeNt,Jesse Barker,,28 years,8969,0.337,8038,1.12,76.3,4.2,480,12386,0.72,0.12,0.65,0.09,0.1,1.07,AWPer
