,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
229,b1t,"['Natus Vincere', 'NAVI Junior']",538,14303,+936,1.10,1.05,20 years,9957,67.2%,9021,1.10,75.5,4.3,538,14303,0.70,0.11,0.63,0.09,0.10,0.63,72.0%,1.10,75.5,0.70,1.11
230,hardzao,"['paiN', 'DETONA']",799,21014,+1546,1.12,1.05,22 years,14525,46.6%,12979,1.12,74.5,4.6,799,21014,0.69,0.13,0.62,0.10,0.11,0.62,73.4%,1.03,74.5,0.69,1.10
231,Ramz1kBO$$,"['Tengri', 'Syman']",425,11070,+553,1.07,1.05,23 years,8110,33.8%,7557,1.07,75.9,1.5,425,11070,0.73,0.10,0.68,0.07,0.08,0.68,67.2%,1.20,75.9,0.73,1.09
232,HZ,"['TYLOO', 'CyberZen', 'AllGamers']",500,12856,+691,1.08,1.05,32 years,9305,49.4%,8614,1.08,81.7,3.8,500,12856,0.72,0.17,0.67,0.13,0.12,0.67,73.8%,1.14,81.7,0.72,1.05
233,stavn,"['Heroic', 'Fragsters']",1217,32382,+1675,1.08,1.05,20 years,23554,43.0%,21879,1.08,81.0,4.3,1217,32382,0.73,0.14,0.68,0.10,0.10,0.68,70.9%,1.14,81.0,0.73,1.12
234,cajunb,"['North', 'TSM', 'OpTic', 'Dignitas']",1751,45848,+2868,1.10,1.05,33 years,32080,41.0%,29212,1.10,73.5,3.1,1751,45848,0.70,0.12,0.64,0.09,0.10,0.64,70.1%,1.02,73.5,0.70,1.05
235,JW,['fnatic'],2125,55952,+2651,1.07,1.05,28 years,40795,36.2%,38144,1.07,76.1,4.1,2125,55952,0.73,0.14,0.68,0.08,0.08,0.68,67.5%,1.16,76.1,0.73,1.05
236,mou,"['Gambit', 'K23', 'HellRaisers', 'Syman']",1537,40784,+2563,1.10,1.05,31 years,28922,27.9%,26359,1.10,73.8,4.0,1537,40784,0.71,0.11,0.65,0.08,0.09,0.65,69.8%,1.12,73.8,0.71,1.05
237,WolfY,"['ECSTATIC', 'Lyngby Vikings', 'Secret Club', 'fnatic Rising']",627,16674,+1246,1.12,1.05,24 years,11598,33.9%,10352,1.12,71.4,3.1,627,16674,0.70,0.10,0.62,0.09,0.10,0.62,71.6%,1.06,71.4,0.70,1.09
238,tabseN,"['BIG', 'PENTA', 'MOUZ']",2047,54130,+1539,1.04,1.05,27 years,39497,49.1%,37958,1.04,84.5,8.2,2047,54130,0.73,0.16,0.70,0.09,0.09,0.70,69.5%,1.22,84.5,0.73,1.05
239,yay,"['Complexity', 'Orgless']",653,17182,+604,1.05,1.05,24 years,12452,46.7%,11848,1.05,77.6,3.4,653,17182,0.72,0.13,0.69,0.10,0.11,0.69,69.9%,1.16,77.6,0.72,1.05
240,Jeorge,"['Gaimin Gladiators', 'Triumph', 'ChocoCheck', 'Nouns', 'GGPR']",418,10960,+523,1.07,1.05,19 years,7752,47.3%,7229,1.07,78.9,5.9,418,10960,0.71,0.15,0.66,0.10,0.11,0.66,72.0%,1.10,78.9,0.71,1.11
241,zeph,"['ORDER', 'Chiefs', 'DGG', 'Ground Zero']",600,15248,+600,1.06,1.05,20 years,11209,47.6%,10609,1.06,79.7,3.9,600,15248,0.74,0.13,0.70,0.10,0.10,0.70,69.1%,1.21,79.7,0.74,1.11
242,REDSTAR,"['Fiend', 'Bpro']",756,20152,+1355,1.11,1.05,21 years,14180,49.1%,12822,1.11,74.9,4.4,757,20173,0.70,0.12,0.64,0.10,0.10,0.64,71.7%,1.07,74.9,0.70,1.10
243,c0llins,"['Partizan', '4glory']",431,11596,+487,1.06,1.05,24 years,8461,54.2%,7974,1.06,79.8,4.9,431,11596,0.73,0.13,0.69,0.09,0.11,0.69,70.1%,1.17,79.8,0.73,1.10
244,nin9,"['NKT', 'TIGER', 'Renewal', 'Mazaalai']",461,12150,+801,1.10,1.05,24 years,8508,36.6%,7707,1.10,75.0,5.0,461,12150,0.70,0.12,0.63,0.08,0.09,0.63,69.9%,1.10,75.0,0.70,1.10
245,Lucky,"['Tricked', 'Astralis']",688,18598,+1284,1.11,1.05,20 years,12853,39.4%,11569,1.11,71.3,3.0,688,18598,0.69,0.09,0.62,0.09,0.10,0.62,70.5%,1.04,71.3,0.69,1.08
246,KRIMZ,['fnatic'],1873,49263,+3124,1.10,1.05,28 years,34508,40.8%,31385,1.10,76.2,4.2,1874,49299,0.70,0.15,0.64,0.09,0.10,0.64,71.2%,1.01,76.2,0.70,1.05
