Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
Zellsis,"'Swole Patrol', 'Lazarus'",626,16210,+803,1.07,1.05
WolfY,"'ECSTATIC', 'Lyngby Vikings', 'Secret Club'",527,14037,+993,1.11,1.05
flusha,'fnatic',1870,49072,+2703,1.08,1.05
rommi,"'Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337'",516,13467,+604,1.06,1.05
cadiaN,"'Heroic', 'Rogue', 'SK'",1455,38459,+2513,1.10,1.05
malta,"'Grayhound', 'Chiefs', 'Renegades'",989,25205,+1445,1.09,1.04
refrezh,"'Heroic', 'Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic'",966,25737,+1336,1.08,1.04
MarKE,"'Extra Salt', 'eUnited', 'Swole Patrol'",926,23830,+1348,1.09,1.04
Swahn,"'Bad News Bears', 'iNTACT', 'Detonate', 'Bushido Boyz'",374,9836,+558,1.09,1.04
Kjaerbye,"'North', 'Dignitas', 'Astralis'",1519,39947,+2110,1.08,1.04
FASHR,"'ECSTATIC', 'Lyngby Vikings', 'Defusekids'",696,18433,+658,1.05,1.04
kabal,"'5POWER', 'TheMongolz', 'TIGER'",778,20398,+1098,1.08,1.04
afro,"'HEET', 'DBL PONEY', 'LDLC'",547,14615,+806,1.09,1.04
n0rb3r7,"'K23', 'Winstrike', 'Syman'",1053,28151,+845,1.04,1.04
DavCost,"'INDE IRAE', 'Spirit', '1WIN'",1256,33101,+1861,1.09,1.04
Bwills,"'Triumph', 'Infamous'",761,19695,+920,1.07,1.04
zewsy,"'Tainted Minds', 'Chiefs', 'Winterfox'",618,15666,+667,1.06,1.04
STOMP,"'x-kom', 'Izako Boars', 'Illuminar', 'HONORIS'",809,21729,+1329,1.10,1.04
aumaN,'ViCi',874,22423,+1183,1.08,1.04
jkaem,"'Apeks', 'Renegades', 'FaZe', '100 Thieves'",1282,33822,+1102,1.05,1.04
Snakes,"'Spacestation', 'The Quest', 'SoaR'",403,10328,+461,1.07,1.04
Hiko,"'Liquid', 'Rogue'",937,24398,+1532,1.10,1.04
Geniuss,"'Signature', 'Beyond', 'Lucid Dream'",398,10155,+309,1.04,1.04
Snax,"'Virtus.pro', 'Anonymo'",2103,55469,+2796,1.08,1.04
KHTEX,"'Paquetá', 'Wild', 'Virtue'",607,15652,+890,1.09,1.04
motm,"'ATK', 'Cloud9'",920,24275,+890,1.05,1.04
Lucky,"'Tricked', 'Astralis'",434,11721,+670,1.09,1.04
HSK,"'MVP PK', 'MVP Project', 'GOSU'",540,13851,+845,1.10,1.04
Bubzkji,"'Tricked', 'Fragsters', 'MAD Lions', 'Astralis'",817,21619,+963,1.07,1.04
eraa,'GamerLegion',559,15156,+701,1.07,1.04
twist,"'GODSENT', 'fnatic', 'NIP'",1687,44685,+1754,1.06,1.04
ANDROID,"'Complexity', 'Envy'",835,21741,+1036,1.07,1.04
imoRR,"'Eternal Fire', 'Sangal', 'Royal Bandits'",612,16308,+275,1.02,1.04
LOVEYY,"'Flash', 'VG.CyberZen', 'VG.Flash'",708,17977,+699,1.06,1.04
buster,"'AVANGAR', 'Virtus.pro'",1252,33082,+1966,1.10,1.04
Lucky,"'Heretics', 'DBL PONEY', 'G2', '3DMAX'",1180,31516,+1508,1.07,1.03
Davidp,"'3DMAX', 'Heretics'",774,20539,+1009,1.08,1.03
tb,"'VG.CyberZen', 'CyberZen', 'ViCi'",619,15737,+708,1.07,1.03
TRAVIS,'1WIN',486,12942,+437,1.05,1.03
dobu,"'5POWER', 'TIGER', 'TheMongolz'",779,20403,+664,1.05,1.03
dEE,"'lvlUP', '4glory', 'Juggernauts', 'BLUEJAYS'",439,11583,+551,1.07,1.03
tarik,"'CLG', 'Evil Geniuses', 'Cloud9', 'OpTic'",1438,37326,+1316,1.05,1.03
Kntz,"'Alpha Red', 'Beyond', 'NSPR'",509,13117,+627,1.07,1.03
rAge,"'Hard Legion', 'Windigo Academy'",382,10184,+684,1.11,1.03
REZ,"'NIP', 'Epsilon'",1333,35066,+1297,1.06,1.03
JUST,"'SAW', 'OFFSET'",860,22642,+838,1.06,1.03
Maden,"'ENCE', 'GODSENT', 'FunPlus Phoenix', 'SMASH'",669,17803,+408,1.03,1.03
NK4Y,"'Outlaws', 'Bpro', 'ex-Epsilon'",480,12325,+429,1.05,1.03
USTILO,"'Renegades', 'ORDER'",1144,29584,+928,1.05,1.03
land1n,"'paiN', 'Wild', 'Case', 'BigGods'",760,19874,+1158,1.10,1.03
Subroza,"'Ghost', 'FRENCH CANADIANS', 'CLG', 'Lazarus', 'Orgless'",623,16275,+375,1.03,1.03
F1KU,'AGO',583,15876,+399,1.04,1.03
sjuush,"'Heroic', 'Tricked', 'MAD Lions'",805,21293,+929,1.07,1.03
max,"'9z', 'Isurus', 'Furious'",542,14337,+600,1.06,1.03
Lucaozy,"'Sharks', 'DETONA', 'Reapers'",390,10576,+462,1.07,1.03
DannyG,"'Rooster', 'Paradox'",377,9748,+294,1.04,1.03
yam,"'Renegades', 'Tainted Minds'",547,14003,+650,1.07,1.03
fnx,"'Imperial', 'Luminosity', 'SK', 'Immortals', 'RED Canids', 'Não Tem Como'",664,17045,+773,1.07,1.03
juho,"'ENCE', 'iGame.com'",756,19886,+248,1.02,1.03
KENSI,"'forZe', 'ex-ETHEREAL'",486,13041,+668,1.08,1.03
JonY BoY,"'Gale Force', 'Miami Flamingos', 'Furious', 'Isurus'",421,10813,+368,1.05,1.03
alex,'Movistar Riders',1265,33492,+1417,1.06,1.03
Relaxa,"'Chaos', 'Red Reserve', 'Japaleno', 'Apeks', 'Galaxy Racer'",1203,32043,+1945,1.10,1.03
fleav,"'Budapest Five', 'GameAgents'",551,14495,+343,1.03,1.03
znajder,"'GODSENT', 'fnatic', 'EURONICS'",1050,27577,+1070,1.06,1.03
DEV7L,'eXtatus',549,14256,+582,1.06,1.03
AiyvaN,"'pro100', ""spray'n'pray""",694,18045,+592,1.05,1.03
rain,'FaZe',1582,41854,+891,1.03,1.03
DiMKE,"'4glory', 'lvlUP', 'RESISTANCE', 'ONYX'",635,16721,+506,1.04,1.03
captainMo,"'TYLOO', 'OneThree'",814,20980,+617,1.04,1.03
phzy,"'Young Ninjas', 'NIP'",447,12013,+620,1.08,1.03
Thomas,'Endpoint',922,24498,+860,1.05,1.03
glowiing,"'1WIN', 'Trident', 'Cyber Legacy'",481,12795,+225,1.03,1.03
stfN,'ALTERNATE aTTaX',1349,35834,+1458,1.06,1.03
Patsi,"'Spirit', 'Espada', 'Spirit Academy'",502,13466,+290,1.03,1.03
Spargo,"'KOVA', 'hREDS'",433,11725,+380,1.05,1.03
RCF,"'Sharks', 'Yeah', 'High Coast'",644,16879,+549,1.05,1.03
kressy,"'ALTERNATE aTTaX', 'Sprout', 'EURONICS'",1102,29508,+1165,1.06,1.03
Patitek,"'Izako Boars', 'x-kom', 'VenatoreS'",377,9918,+178,1.03,1.03
shuadapai,"'5POWER', 'Eclipse'",549,14214,+492,1.05,1.03
aizy,"'North', 'Dignitas', 'FaZe'",1564,41206,+1170,1.04,1.03
FrostMisty,"'Recca', 'nxl'",376,9498,+411,1.07,1.03
Forester,"'Entropiq', 'DreamEaters', 'Hard Legion'",1171,31096,+1067,1.05,1.03
fl0m,'Mythic',657,17320,+639,1.06,1.03
RIKO,"'Monstars', 'Denial'",406,10568,+155,1.02,1.03
dennis,"'Apeks', 'fnatic', 'NIP', 'GamerLegion'",1575,41834,+1140,1.04,1.03
food,"'eUnited', 'Singularity', 'Freedom 35'",456,11711,+380,1.05,1.03
flamie,'Natus Vincere',1605,42377,+1400,1.05,1.03
cxzi,"'Triumph', 'Strife'",425,11022,+102,1.01,1.02
pashaBiceps,"'Virtus.pro', 'ESC'",1592,41228,+1019,1.04,1.02
Krad,"'Entropiq', 'DreamEaters', 'Hard Legion'",1139,30276,+722,1.04,1.02
hoody,'HAVU',575,15453,+402,1.04,1.02
FaNg,'Extra Salt',634,16523,+536,1.05,1.02
Maluk3,'TeamOne',1032,26770,+1161,1.07,1.02
CyberFocus,"'Nemiga', 'K29', 'Rebels', 'Empire'",491,12779,+320,1.04,1.02
kai,"'Bravos', 'C4', 'RED Canids'",483,12692,+415,1.05,1.02
sLowi,'HAVU',1121,30114,+834,1.04,1.02
smiley,"'Unique', '100PG', 'Se7en'",478,12883,+631,1.08,1.02
HexT,"'Carpe Diem', 'RBG'",471,12509,+322,1.04,1.02
niko,"'OG', 'Heroic', 'OpTic'",1211,32024,+1078,1.05,1.02
AMANEK,"'G2', 'LDLC', 'Misfits'",1030,27668,+1199,1.07,1.02
dragonfly,'Fragsters',507,13234,+502,1.06,1.02
szejn,"'MOUZ NXT', 'Izako Boars'",505,13478,+275,1.03,1.02
kolor,"'GameAgents', 'Budapest Five', 'EURONICS'",552,14434,+304,1.03,1.02
JDC,"'MOUZ NXT', 'expert', 'Unicorns of Love', 'PANTHERS'",471,12350,+324,1.04,1.02
HS,"'Nordavind', 'PENTA'",1062,28402,+427,1.02,1.02
NBK-,"'Envy', 'G2', 'Vitality', 'OG', 'VeryGames'",2050,53613,+1331,1.04,1.02
jdm64,"'Liquid', 'CLG', 'Envy'",823,21321,+825,1.06,1.02
Tuurtle,"'MIBR', 'DETONA', 'Bravos', 'C4'",715,18803,+478,1.04,1.02
DeStiNy,"'Luminosity', 'Paquetá', 'INTZ', 'Wild'",1051,27310,+464,1.02,1.02
bondik,"'HellRaisers', 'FlipSid3', 'Winstrike'",1454,38215,+1456,1.06,1.02
MonttY,"'eXtatus', 'eSuba'",522,13451,+338,1.04,1.02
FANAT ROCKA,"'Unique', 'Quantum Bellator Fire', 'Space Jam'",465,12150,+453,1.06,1.02
disco doplan,"'GODSENT', 'Epsilon', 'Galaxy Racer', 'Red Reserve'",1207,32000,+1094,1.05,1.02
Nico,"'Dignitas', 'CPH Wolves', 'Western Wolves'",399,10074,+547,1.09,1.02
mouz,"'Kinguin', 'Illuminar'",1698,45118,+1739,1.06,1.02
qqGOD,"'Signature', 'Beyond', 'Lucid Dream'",584,15180,+280,1.03,1.02
MoeycQ,"'Immunity', 'Chiefs', 'Ground Zero', 'AVANT'",639,16594,+410,1.04,1.02
Spongey,"'Bad News Bears', 'Triumph', 'The Quest'",782,20344,+1000,1.08,1.02
v1c7oR,"'Windigo', 'E-frag.net', 'Fiend'",1859,48493,+1212,1.04,1.02
NENO,"'Binary Dragons', 'Valiance'",651,16863,+632,1.06,1.02
Xyp9x,"'Astralis', 'TSM'",1941,50562,+2323,1.07,1.02
b0denmaster,"'ATK', 'Lilmix'",503,13448,+423,1.05,1.02
spaze,"'PiTER', 'Gambit', 'EPG'",538,14117,+89,1.01,1.02
apEX,"'Vitality', 'Envy', 'G2', 'Titan'",1968,51619,+693,1.02,1.02
Plopski,"'NIP', 'x6tence Galaxy', 'Singularity'",1004,26595,+849,1.05,1.02
mar,"'FATE', 'Finest'",724,19174,+441,1.03,1.02
Ace,"'Rise Nation', 'eUnited'",456,11866,+570,1.08,1.02
Markoś,"'AVEZ', 'Wisla Krakow'",666,17918,+799,1.07,1.02
dimasick,"'AVANGAR', 'pro100'",585,15322,+447,1.04,1.02
yel,"'Luminosity', 'INTZ', 'MIBR'",927,23986,+1043,1.07,1.02
iDk,"'TeamOne', 'Paquetá', 'Yeah'",840,21908,+539,1.04,1.02
Goofy,"'Wisla Krakow', 'PACT', 'x-kom'",1110,30021,+333,1.02,1.02
queztone,'eXtatus',709,18569,+235,1.02,1.02
ROBO,'Nemiga',667,17746,+628,1.05,1.02
steel,"'Chaos', 'Ghost', 'Torqued'",617,16290,+261,1.02,1.02
TENZKI,"'Nordavind', 'Dignitas'",1494,39305,+1336,1.05,1.02
fr0slev,"'AGF', 'Fragsters'",611,15973,+470,1.04,1.02
LETN1,"'Valiance', 'Binary Dragons', 'iNation', 'CR4ZY'",1111,28880,+1164,1.06,1.02
fox,"'Giants', 'k1ck', 'Kinguin', 'OFFSET'",1057,27606,+523,1.03,1.02
n0thing,"'Cloud9', 'Complexity'",813,21021,+484,1.03,1.02
