Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating
Hatz,Jordan Bajic,N/A,24 years,17725,50.9%,15679,1.13,77.6,5.1,970,24686,0.72,0.14,0.64,0.1,0.1,1.14
floppy,Ricky Kemery,Complexity,23 years,17576,49.4%,15839,1.11,80.2,3.2,919,24129,0.73,0.14,0.66,0.11,0.13,1.14
Farlig,Asger Jensen,Astralis,23 years,14833,33.4%,13056,1.14,71.4,2.4,775,20762,0.71,0.09,0.63,0.08,0.1,1.09
iDISBALANCE,Artem Egorov,K23,26 years,18026,26.9%,15647,1.15,74.0,2.5,946,25187,0.72,0.1,0.62,0.09,0.09,1.13
meyern,Ignacio Meyer,BESTIA,20 years,9783,54.1%,8856,1.1,76.6,3.6,516,13481,0.73,0.11,0.66,0.1,0.13,1.11
Magisk,Emil Reif,Vitality,24 years,28260,47.5%,24969,1.13,79.5,5.9,1497,39488,0.72,0.15,0.63,0.09,0.09,1.08
fejtZ,Kristjan Allsaar,sYnck ,25 years,16980,45.1%,15271,1.11,76.8,3.6,870,23016,0.74,0.12,0.66,0.1,0.12,1.08
Liazz,Jay Tregillgas,Grayhound,25 years,18811,45.9%,16501,1.14,78.3,4.6,1040,26767,0.7,0.15,0.62,0.1,0.11,1.08
dupreeh,Peter Rasmussen,Vitality,29 years,38637,50.3%,34343,1.13,76.6,3.3,2036,53134,0.73,0.14,0.65,0.09,0.09,1.08
jayzaR,Aleksandar Zarkovic,N/A,25 years,10481,36.4%,9546,1.1,78.8,3.5,531,14033,0.75,0.12,0.68,0.09,0.1,1.08
Rickeh,Ricardo Mulholland,N/A,31 years,17834,37.7%,15446,1.15,77.3,5.2,962,25181,0.71,0.13,0.61,0.08,0.09,1.07
broky,Helvijs Saukants,FaZe,22 years,14766,37.6%,12795,1.15,73.1,3.5,786,20996,0.7,0.1,0.61,0.1,0.11,1.1
Summer,YuLun Cai,TYLOO,25 years,24529,49.0%,21747,1.13,79.5,5.6,1311,33781,0.73,0.14,0.64,0.09,0.09,1.07
MICHU,Michał Müller,N/A,26 years,34982,50.8%,31881,1.1,79.9,4.0,1791,47050,0.74,0.13,0.68,0.09,0.1,1.07
Ryxxo,Thomas Nielsen,CEPTER,26 years,16547,33.2%,14592,1.13,76.0,6.4,880,23128,0.72,0.12,0.63,0.09,0.1,1.07
ptr,Peter Gurney,N/A,32 years,20971,26.0%,18272,1.15,73.3,3.4,1136,29729,0.71,0.11,0.61,0.09,0.1,1.07
jL,Justinas Lekavicius,Apeks,23 years,8973,48.3%,8115,1.11,78.0,4.1,456,12238,0.73,0.12,0.66,0.09,0.1,1.11
dapr,Michael Gulino,N/A,24 years,11313,44.1%,10311,1.1,80.8,6.4,594,15426,0.73,0.15,0.67,0.1,0.11,1.13
NaToSaphiX,Niels Christian Sillassen,undefined,26 years,18513,36.8%,15993,1.16,71.9,3.2,988,26353,0.7,0.1,0.61,0.09,0.1,1.07
Impulse,Aleksa Stankić,ex-4glory,26 years,14902,35.3%,13313,1.12,75.5,3.6,781,20768,0.72,0.11,0.64,0.1,0.11,1.11
dexter,Christopher Nong,MOUZ,28 years,20198,48.6%,18398,1.1,80.3,5.2,1070,27582,0.73,0.14,0.67,0.09,0.09,1.07
nicoodoz,Nico Tamjidi,fnatic,22 years,15240,31.7%,13282,1.15,71.5,3.3,807,21614,0.71,0.08,0.61,0.08,0.1,1.09
hAdji,Ali Haïnouss,Falcons,27 years,24011,49.1%,21653,1.11,79.5,4.1,1243,32898,0.73,0.13,0.66,0.1,0.12,1.07
jks,Justin Savage,G2,27 years,23035,53.0%,20567,1.12,77.3,5.3,1255,32781,0.7,0.13,0.63,0.09,0.11,1.07
